pic_id,Views,tag,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model,latitude,longitude,county,region,country
52125732133,1270.0,sri lanka,Panasonic,DMC-FZ200,4.5,Manual,200.0,Spot,"Off, Did not fire",108.0,sRGB,MACRO 100mm F2.8,,,,,
52121404023,997.0,sri lanka,NIKON CORPORATION,NIKON D850,5.0,Manual,450.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0,,,,,
52114499159,6149.0,sri lanka,vivo,V2025,2.0,Program AE,50.0,Center-weighted average,"Off, Did not fire",5.4,sRGB,600.0 mm f/4.0,,,,,
52111428485,686.0,sri lanka,NIKON CORPORATION,NIKON D850,5.0,Manual,3200.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0,,,,,
52046258887,1878.0,sri lanka,HUAWEI,CLT-L04,5.0,Manual,3200.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0,,,,,
52015963849,853.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF300mm f/4L IS USM +1.4x,,,,,
52009705947,7053.0,sri lanka,Apple,iPhone XR,1.8,Program AE,32.0,Multi-segment,"Off, Did not fire",4.2,sRGB,iPhone XR back camera 4.25mm f/1.8,,,,,
51989474212,915.0,sri lanka,NIKON CORPORATION,NIKON D750,7.1,Not Defined,100.0,Multi-segment,"Off, Did not fire",52.0,Uncalibrated,24-85mm f/3.5-4.5,,,,,
51976254711,1928.0,sri lanka,NIKON CORPORATION,NIKON D5600,6.3,Manual,200.0,Multi-segment,"Off, Did not fire",300.0,sRGB,Leica Summicron-M 28mm f/2 ASPH.,,,,,
51949653510,4266.0,sri lanka,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,Uncalibrated,EF-S18-55mm f/3.5-5.6 IS II,,,,,
51945501401,2480.0,sri lanka,FUJIFILM,X-T3,5.6,Aperture-priority AE,800.0,Multi-segment,No Flash,88.2,sRGB,XF18-135mmF3.5-5.6R LM OIS WR,,,,,
4292821025,534.0,sri lanka,Canon,Canon EOS DIGITAL REBEL XSi,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,17.0-50.0 mm f/2.8,,,,,
51941193889,2111.0,sri lanka,Canon,Canon EOS R5,9.0,Manual,100.0,Multi-segment,No Flash,25.0,sRGB,EF16-35mm f/4L IS USM,,,,,
51939748500,7710.0,sri lanka,NIKON CORPORATION,NIKON D7000,5.6,Manual,100.0,Multi-segment,"Off, Did not fire",100.0,sRGB,70.0-300.0 mm f/4.0-5.6,,,,,
51933120167,12775.0,sri lanka,Apple,iPhone 12 Pro,2.0,Program AE,25.0,Multi-segment,"Off, Did not fire",6.0,Uncalibrated,iPhone 12 Pro back triple camera 6mm f/2,,,,,
51927993127,2124.0,sri lanka,Canon,Canon EOS R5,5.6,Manual,1600.0,Multi-segment,No Flash,400.0,Uncalibrated,EF100-400mm f/4.5-5.6L IS II USM,,,,,
51927032631,19774.0,sri lanka,Canon,Canon EOS R5,13.0,Bulb,100.0,Multi-segment,No Flash,25.0,Uncalibrated,EF16-35mm f/4L IS USM,,,,,
51924023124,1121.0,sri lanka,Panasonic,DMC-FZ200,3.5,Manual,100.0,Multi-segment,"Off, Did not fire",7.4,sRGB,EF16-35mm f/4L IS USM,,,,,
51914435170,3683.0,sri lanka,FUJIFILM,X-T1,4.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",55.0,sRGB,XF18-55mmF2.8-4 R LM OIS,,,,,
51900577883,11984.0,sri lanka,Apple,iPhone 12 Pro,1.6,Program AE,80.0,Multi-segment,"Off, Did not fire",4.2,Uncalibrated,iPhone 12 Pro back triple camera 4.2mm f/1.6,,,,,
51899666508,764.0,sri lanka,FUJIFILM,FinePix HS20EXR,8.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",4.2,sRGB,iPhone 12 Pro back triple camera 4.2mm f/1.6,,,,,
51896689228,1484.0,sri lanka,Panasonic,DMC-FZ200,3.5,Manual,200.0,Spot,"Off, Did not fire",108.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,,,,,
51891420597,2859.0,sri lanka,NIKON CORPORATION,NIKON D5600,6.0,Manual,400.0,Multi-segment,"Off, Did not fire",155.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,,,,,
51891637695,2681.0,sri lanka,NIKON CORPORATION,NIKON D5600,4.2,Manual,1600.0,Multi-segment,"Off, Did not fire",38.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,,,,,
52148806479,730.0,sri lanka,,,,,,,,,,,6.024503,80.219807,Galle District,6,7
52003707011,3719.0,sri lanka,,,,,,,,,,,45.031136,7.664487,Turin,6,7
52001535131,3270.0,sri lanka,,,,,,,,,,,45.031272,7.664154,Turin,6,7
51976789761,1445.0,sri lanka,,,,,,,,,,,6.980102,81.060605,Badulla District,6,7
51940045683,933.0,sri lanka,,,,,,,,,,,7.294111,80.640363,Kandy District,6,7
51939965021,728.0,sri lanka,,,,,,,,,,,7.289124,80.644312,Kandy District,6,7
51977136089,8553.0,sri lanka,,,,,,,,,,,,,,,
